"item_id","item","agg1","agg2","unidades_30d","precio_prom_brl","expansion"
"5507632884","Voltímetro + Marcador De Temperatura Automotivo Profissional","Acessórios para Veículos","Aces. de Carros e Caminhonetes","1097","46","Tier 2 — llevaría a 15.000 items"
"4976029620","Capa De Cobrir Carro Cobrecar Parcialmente Forrada - G Preto","Acessórios para Veículos","Aces. de Carros e Caminhonetes","1080","50","Tier 2 — llevaría a 15.000 items"
"3789764022","Kit Remendo Metal 60 Reparos +maleta Macarrão Pneu Carro Mot","Acessórios para Veículos","Aces. de Carros e Caminhonetes","1043","62","Tier 2 — llevaría a 15.000 items"
"3946528893","Kit Reparo Pneus 25 Remendo Macarrão Carro Moto Sem Câmara","Acessórios para Veículos","Aces. de Carros e Caminhonetes","1000","28","Tier 2 — llevaría a 15.000 items"
"4312415423","Porta Copo Automotivo Regulável Com Suporte Para Latas E Gar Preto","Acessórios para Veículos","Aces. de Carros e Caminhonetes","978","20","Tier 2 — llevaría a 15.000 items"
"3873348053","Kit Tomada Alumínio Engate Cromada 6 Polo Reboque Carretinha","Acessórios para Veículos","Aces. de Carros e Caminhonetes","954","49","Tier 2 — llevaría a 15.000 items"
"3841703169","Capa De Cobrir Carro Lycra Tecido Proteção Sol Poeira Riscos","Acessórios para Veículos","Aces. de Carros e Caminhonetes","948","152","Tier 2 — llevaría a 15.000 items"
"4215061787","Kit 2 Suporte Tag Pedágio, Sem Parar - Carro Para-brisa Transparente","Acessórios para Veículos","Aces. de Carros e Caminhonetes","937","29","Tier 2 — llevaría a 15.000 items"
"5542254222","Capa Protetora Para Carro Lona Grossa Proteção Forrada","Acessórios para Veículos","Aces. de Carros e Caminhonetes","918","50","Tier 2 — llevaría a 15.000 items"
"3982132355","Câmera Ré Frontal Olho Peixe 180ºgraus Automotiva Ônibus Van","Acessórios para Veículos","Aces. de Carros e Caminhonetes","917","26","Tier 2 — llevaría a 15.000 items"
"3444263355","Munheca Para Reboque De Carretinha Trailer Jetsky 2500kg","Acessórios para Veículos","Aces. de Carros e Caminhonetes","889","108","Tier 2 — llevaría a 15.000 items"
"4537699376","Jg 4 Calotas Tampa Roda Ferro Vw Aro 13 14 15 Amarok 4 Furos Preto","Acessórios para Veículos","Aces. de Carros e Caminhonetes","880","26","Tier 2 — llevaría a 15.000 items"
"3810259889","Kit Tomada Fêmea Cromada E Plug Macho Cromado Para Engate","Acessórios para Veículos","Aces. de Carros e Caminhonetes","864","28","Tier 2 — llevaría a 15.000 items"
"4212899352","Kit Câmera De Ré Hd Visão Noturna + Visor Lcd 4.3 Polegadas","Acessórios para Veículos","Aces. de Carros e Caminhonetes","851","101","Tier 2 — llevaría a 15.000 items"
"1963433381","Munheca Carretinha, Reboque Padrão Karmann Ghia 2.500kg","Acessórios para Veículos","Aces. de Carros e Caminhonetes","841","112","Tier 2 — llevaría a 15.000 items"
"3920443921","Bateria Lítio Skyrich Lix7l Para Honda Yamaha Ktm Crf 7ah","Acessórios para Veículos","Aces. de Motos e Quadriciclos","1088","194","Tier 2 — llevaría a 15.000 items"
"5760489408","Tsf | Viseira Cristal Ls2 Ff358 Fw3 Gt Gtn Gtx Kit Reparo. Transparente","Acessórios para Veículos","Aces. de Motos e Quadriciclos","1087","52","Tier 2 — llevaría a 15.000 items"
"4655036718","Luva Moto Motoqueiro Impermeável Térmica Inverno Frio Touch Preto Único - M Ao Gg","Acessórios para Veículos","Aces. de Motos e Quadriciclos","1084","27","Tier 2 — llevaría a 15.000 items"
"2108086348","Capa Pra Moto Térmica Protetora Sol Chuva Impermeável","Acessórios para Veículos","Aces. de Motos e Quadriciclos","1077","59","Tier 2 — llevaría a 15.000 items"
"4171897735","Fone De Ouvido Comunicador Sem Fio Para Capacete Pholex","Acessórios para Veículos","Aces. de Motos e Quadriciclos","1071","29","Tier 2 — llevaría a 15.000 items"
"1322379505","Luva X11 Masculina Blackout 2 Touch Verão Moto Motociclista","Acessórios para Veículos","Aces. de Motos e Quadriciclos","1065","95","Tier 2 — llevaría a 15.000 items"
"5290948410","Capa Para Moto Forrada Lmpermeável Térmicasol Chuva","Acessórios para Veículos","Aces. de Motos e Quadriciclos","1054","61","Tier 2 — llevaría a 15.000 items"
"2715884071","Corda Elástico 2 Metros Bagageiro Moto Bike Kit 4 Und","Acessórios para Veículos","Aces. de Motos e Quadriciclos","1049","22","Tier 2 — llevaría a 15.000 items"
"5744170380","Capa De Chuva Motoqueiro Motoboy Moto Conjunto Impermeável  Preto E Rosa G - Feminino","Acessórios para Veículos","Aces. de Motos e Quadriciclos","1047","79","Tier 2 — llevaría a 15.000 items"
"4221446323","Cadeado Trava Segurança Cabo Pra Moto Bike Com Suporte Cor Preto Resistente","Acessórios para Veículos","Aces. de Motos e Quadriciclos","1022","20","Tier 2 — llevaría a 15.000 items"
"4567568661","Comunicador Capacete V6 Plus 2 Unidades / Par Bluetooth 5.0","Acessórios para Veículos","Aces. de Motos e Quadriciclos","1019","238","Tier 2 — llevaría a 15.000 items"
"1299441396","Capa De Chuva Motoqueiro Alba Europa Original-pronta Entrega","Acessórios para Veículos","Aces. de Motos e Quadriciclos","1011","186","Tier 2 — llevaría a 15.000 items"
"5060291290","Capa Para Moto Impermeável Térmica Uv - Sol E Chuva","Acessórios para Veículos","Aces. de Motos e Quadriciclos","1004","54","Tier 2 — llevaría a 15.000 items"
"4284957623","Capacete Moto Race Tech Signal Articulado Preto Fosco","Acessórios para Veículos","Aces. de Motos e Quadriciclos","997","450","Tier 2 — llevaría a 15.000 items"
"3872178173","Kit 2 Capa De Chuva Reforçada Pvc Transparente Resistente","Acessórios para Veículos","Aces. de Motos e Quadriciclos","997","34","Tier 2 — llevaría a 15.000 items"
"5275916318","Capacete Moto Fechado Masculino Viseira Fumê New Liberty 4","Acessórios para Veículos","Aces. de Motos e Quadriciclos","974","127","Tier 2 — llevaría a 15.000 items"
"2810703446","Capacete Aberto Pro Tork New Liberty 3","Acessórios para Veículos","Aces. de Motos e Quadriciclos","967","131","Tier 2 — llevaría a 15.000 items"
"4292067541","Viseira Capacete Axxis Asx Eagle Draken City Cristal Segment Transparente","Acessórios para Veículos","Aces. de Motos e Quadriciclos","966","48","Tier 2 — llevaría a 15.000 items"
"3961508557","Capacete Moto Pro Tork Fechado Viseira Fumê Street Promoção","Acessórios para Veículos","Aces. de Motos e Quadriciclos","954","151","Tier 2 — llevaría a 15.000 items"
"4566400785","Luva Moto Motoqueiro Impermeável Térmica Inverno Frio Touch Preto Único","Acessórios para Veículos","Aces. de Motos e Quadriciclos","931","23","Tier 2 — llevaría a 15.000 items"
"5744170372","Capa De Chuva Motoqueiro Motoboy Moto Conjunto Impermeável  Preto Capa-m","Acessórios para Veículos","Aces. de Motos e Quadriciclos","926","77","Tier 2 — llevaría a 15.000 items"
