"item_id","item","agg1","agg2","unidades_30d","ordenes","precio_prom_brl"
"5696967846","3 Câmera Automotiva Veicular Carro Hd Noturna 1080p Icarbonx","Acessórios para Veículos","Aces. de Carros e Caminhonetes","4601","4333","102"
"4138204767","Capa Impermeável Para Carro Proteção Total Uv Chuva","Acessórios para Veículos","Aces. de Carros e Caminhonetes","3385","3334","58"
"5483573282","Câmera De Re Automotiva 8 Leds Hd Infravermelho Visão Noturna Colorida Universal Veicular Carro Borboleta 2 Em 1 A Prova D'agua gurumania","Acessórios para Veículos","Aces. de Carros e Caminhonetes","3355","3026","32"
"2179127977","Quebra Sol Para Brisa Carro Protetor Solar Guarda Chuva","Acessórios para Veículos","Aces. de Carros e Caminhonetes","2776","2564","39"
"4094071195","Capa De Cobrir Carro Proteger Sol Chuva Impermeavel Forrada","Acessórios para Veículos","Aces. de Carros e Caminhonetes","2210","2132","47"
"2832800752","Capa De Volante Couro Ecológico Costurada Revestir Cores","Acessórios para Veículos","Aces. de Carros e Caminhonetes","1928","1824","20"
"3892347188","Capa Pra Cobrir Carro Forrada  Impermeável Tamanho P M G","Acessórios para Veículos","Aces. de Carros e Caminhonetes","1903","1763","54"
"3930068575","Munheca Para Reboque Carretinha Completa 2.500kg","Acessórios para Veículos","Aces. de Carros e Caminhonetes","1889","1570","109"
"5973923310","Protetor Solar Quebra Sol Para Brisa Carro Guarda Chuva Uv","Acessórios para Veículos","Aces. de Carros e Caminhonetes","1782","1580","26"
"4099081269","3 Câmera Automotiva Veicular Carro Hd Noturna 1080p","Acessórios para Veículos","Aces. de Carros e Caminhonetes","1746","1562","101"
"5579913800","Jogo Capa Banco Estofado Tecido Grosso Gol G2 G3 G4 Original","Acessórios para Veículos","Aces. de Carros e Caminhonetes","1506","1497","73"
"4445830879","Suporte De Painel Starlink Mini Com Ventosas Antimulta Preto","Acessórios para Veículos","Aces. de Carros e Caminhonetes","1446","1348","142"
"5988771322","Kit Remendo Metal Reparo Macarrão Pneu Carro Moto Com Maleta","Acessórios para Veículos","Aces. de Carros e Caminhonetes","1427","1353","36"
"1854662025","Capa Pra Cobrir Carro Automotiva 100% Impermeável Com  Forro","Acessórios para Veículos","Aces. de Carros e Caminhonetes","1368","1344","47"
"4249732471","Câmera De Ré Borboleta 170° Davely Compacta Colorida E Noturna Lente À Prova Dágua Instalação Fácil Rca Universal Segurança Estacionamento Carro Monitor 6m Cabo","Acessórios para Veículos","Aces. de Carros e Caminhonetes","1355","853","20"
"4564564497","Protetor Solar Para-brisa Carro Quebra Sol Portatil Uv","Acessórios para Veículos","Aces. de Carros e Caminhonetes","1318","1203","25"
"4536765193","Protetor Banco Traseiro Carro Pet Impermeável Lavável","Acessórios para Veículos","Aces. de Carros e Caminhonetes","1234","1215","77"
"5442232848","Camera De Ré Hd Automotiva Traseira Frontal Veicular Borboleta 2 Em 1 À Prova D'água Estacionamento Visão Noturna Instalação Fácil 12v Wmix Eletrônicos","Acessórios para Veículos","Aces. de Carros e Caminhonetes","1229","911","31"
"3651300663","Kit Para Engate Esfera 50mm Capa Abs 90mm Tomada C/ Fio","Acessórios para Veículos","Aces. de Carros e Caminhonetes","1177","1063","65"
"6555987586","Fone De Ouvido Para Capacete Bluetooth Headset Rgb Sem Fio Kateluo","Acessórios para Veículos","Aces. de Motos e Quadriciclos","9378","7996","42"
"3234085005","Kit 2 Capa De Chuva Reforçada Pvc Transparente Resistente Transparente Único","Acessórios para Veículos","Aces. de Motos e Quadriciclos","8812","6816","24"
"4335965025","Eps-2592 Fone De Ouvido De Capacete Moto Bluetrooth Controle De Voz","Acessórios para Veículos","Aces. de Motos e Quadriciclos","7592","5689","37"
"6507422094","Fone De Ouvido Para Capacete Intercomunicador Bluetooth Headset Rgb Sem Fio Música Gps Chamadas Handsfree Alta Potência Woosh","Acessórios para Veículos","Aces. de Motos e Quadriciclos","6969","5822","41"
"1009709098","Capa Para Moto Forrada Impermeável Térmica Sol Chuva","Acessórios para Veículos","Aces. de Motos e Quadriciclos","5739","5498","53"
"4236533149","Touca Balaclava Premium Luxo Unissex Preto Proteção Uv50+ Preto Liso Único","Acessórios para Veículos","Aces. de Motos e Quadriciclos","5708","4627","20"
"5508726552","Par Luva Motoqueiro Térmica E Impermeável Com Touch Screen Cor Preto Tamanho Único","Acessórios para Veículos","Aces. de Motos e Quadriciclos","5036","4734","27"
"5298350806","Capa Chuva Motoqueiro Pvc Impermeável Motoboy Emborrachada","Acessórios para Veículos","Aces. de Motos e Quadriciclos","4914","4703","77"
"3989130759","Antena Corta Pipa Antena De Moto Anteninha Estágios Inox","Acessórios para Veículos","Aces. de Motos e Quadriciclos","3934","3553","24"
