"item_id","item","unidades_30d","vertical","agg1_ml","agg2_ml","agg3_ml","domain_id"
"4232914111","Camiseta Tech Light  Insider Masculino","2133","FASHION","APPAREL","CLOTHING","SHIRTS","MLB-T_SHIRTS"
"5872060016","Creatina Monohidratada 250g Growth Supplements - Sem Sabor Em Pó","1804","HEALTH","SUPPLEMENTS","SPORTS SUPPLEMENTS","CREATINE","MLB-SUPPLEMENTS"
"4574645165","Kit Com 12 Envelopes De Figurinhas Da Copa Do Mundo 2026 Edição 1 Editora Panini","1593","ENTERTAINMENT","BOOKS AND OTHERS","BOOKS","BOOKS","MLB-BOOKS"
"3340043391","Base Glicerinada Branca Para Sabonete Nossa Terra","1521","CPG","CPG PERSONAL CARE","PERSONAL CARE ESSENTIALS","SOAP","MLB-BAR_SOAPS"
"4564585853","Lenços Umedecidos Huggies Higiene Superior - 192 Unidades","1433","CPG","CPG PERSONAL CARE","CPG BABY CARE","BABY HYGIENE","MLB-WET_BABY_WIPES"
"2007974819","Tim Chip","1409","TECHNOLOGY","SMARTPHONES & TABLETS","SMARTPHONES PARTS & ACCESSORIES","SMARTPHONES ACCESSORIES","MLB-SIM_CARDS"
"3391493408","Base Glicerinada Transparente 1kg Grupo Dj Morch Para Sabonete","1388","CPG","CPG PERSONAL CARE","PERSONAL CARE ESSENTIALS","SOAP","MLB-BAR_SOAPS"
"1813853925","Headset Com Fio Usb Logitech H390 Preto","1232","TECHNOLOGY","WEARABLES","HEADPHONES","HEADSETS","MLB-HEADPHONES"
"4028764995","Lenços Umedecidos Huggies Recém Nascido Pack C/4 - 192 Un","914","CPG","CPG PERSONAL CARE","CPG BODY CARE","OTHERS PERSONAL HYGIENE","MLB-HYGIENIC_WET_WIPES"
"4172328165","Percarbonato De Sódio 100% Puro Tira Manchas Alvejante - 1kg Calisul","902","CPG","FOODS","GROCERIES","BAKERY","MLB-SODIUM_BICARBONATE"
"3568768387","Repelente Elétrico Líquido Sbp 45 Noites Novo Aparelho + Refil 127/220v","874","CPG","CPG HOME CARE","INSECTICIDES","INSECTICIDES","MLB-MAT_AND_LIQUID_REPELLENT_ELECTRIC_DEVICES"
"5721390972","Calça Balão Jeans Masculina Marmorizada Streetwear Larga Bag","868","FASHION","APPAREL","CLOTHING","PANTS & OTHERS","MLB-PANTS"
"3779691237","Barbeador Elétrico Philips À Prova D´água, - S1151/00 Azul-malibú 220v","820","BEAUTY","BEAUTY ELECTRONICS","BEAUTY ELECTRONICS","ELETRIC_SHAVERS","MLB-HAIR_CLIPPERS_ELECTRIC_SHAVERS_AND_HAIR_TRIMMERS"
"1813860579","Mouse C/ Fio Logitech M90 Preto","818","TECHNOLOGY","IT PERIPHERALS, PARTS & ACCESSORIES","PC PERIPHERALS","COMPUTER MICE","MLB-COMPUTER_MICE"
"5320667236","Calça Jeans Feminina Skinny Cós Alto Elastano Marmorizada","758","FASHION","APPAREL","CLOTHING","PANTS & OTHERS","MLB-PANTS"
"2843341921","Conjunto Moletom Grosso Composto Calca E Blusa C/ Capuz","708","FASHION","APPAREL","CLOTHING","SWEATERS AND CARDIGANS","MLB-SWEATSHIRTS_AND_HOODIES"
"4476965341","Mini Câmera Portátil G1 Full Hd 1980p Tipo Cordão E Chaveiro Cor Prateado","705","TECHNOLOGY","CAMERAS & DRONES","CAMERAS & VIDEO CAMERAS","CAMERAS & VIDEO CAMERAS","MLB-DIGITAL_CAMERAS"
"4230524973","Kit 2 Calça Pantalona Feminina Alfaiataria Elegante C/ Cinto","681","FASHION","APPAREL","CLOTHING","PANTS & OTHERS","MLB-PANTS"
"4548323701","Mochila Grande Notebook 17 Impermeável 40 Litros Reforçada Executiva Viagem Trabalho Rincostar Preta Preto Liso","677","FASHION","APPAREL ACCESSORIES","BAG & BACKPACK","BACKPACKS","MLB-BACKPACKS"
"3533684445","Projetor Portátil 4k Hd Android 11.0 Smart Wifi 5g Bluetooth Branco 127/220v","673","TECHNOLOGY","IT PERIPHERALS, PARTS & ACCESSORIES","PERIPHERALS ACCESSORIES","PROJECTORS","MLB-PROJECTORS"
"1813853929","Mouse Sem Fio M170 Preto Logitech","672","TECHNOLOGY","IT PERIPHERALS, PARTS & ACCESSORIES","PC PERIPHERALS","COMPUTER MICE","MLB-COMPUTER_MICE"
"4275758403","Par Aliança Namoro Prata 4mm Compromisso Anatômica + Anel","654","FASHION","APPAREL ACCESSORIES","OTHER APPAREL ACCESSORIES","OTHER APPAREL ACCESSORIES","MLB-WEDDING_BANDS"
"5663299774","Camisa Polo Masculina Tecido Tech Confortavel Casual","631","FASHION","APPAREL","CLOTHING","SHIRTS","MLB-SHIRTS"
"2779401126","Creme Corporal Hidratante Cetaphil 453 G | Pele Sensível, Seca A Muito Seca | Hidratação De 48 Horas | Niacinamida E Pantenol (provitamina B5) Neutra","604","BEAUTY","BEAUTY PERSONAL CARE","BODY CARE","BODY CARE","MLB-BODY_SKIN_CARE_PRODUCTS"
"5579047914","Base Suporte Para Pc Notebook Alumínio Portátil Articulado Dobrável Tablet Laptop Mesa Davely Cor Prateado","600","TECHNOLOGY","IT PERIPHERALS, PARTS & ACCESSORIES","PERIPHERALS ACCESSORIES","NOTEBOOK ACCESSORIES","MLB-LAPTOP_STANDS"
"1925426356","1 Kg De Base Glicerina Para Sabonete Art - Nossa Terra Cores","560","CPG","CPG PERSONAL CARE","PERSONAL CARE ESSENTIALS","SOAP","MLB-BAR_SOAPS"
"2219995018","Colete Social Slim Oxford Para Ternos Masculino Promoção","556","FASHION","APPAREL","CLOTHING","WINTER TOPS SWEATSHIRT","MLB-VESTS"
"5859349564","Celular Samsung Galaxy A07 128gb, 4gb, Câmera 50mp, Tela 6.7 , Proteção Ip54, Processador 6nm - Preto","546","TECHNOLOGY","SMARTPHONES & TABLETS","SMARTPHONES","SMARTPHONES","MLB-CELLPHONES"
"4503603161","Percarbonato De Sódio 100% Tira Manchas Calisul - Roupas Brancas E Coloridas","522","CPG","FOODS","GROCERIES","BAKERY","MLB-SODIUM_BICARBONATE"
