"vertical","agg1","agg2","agg3","dominio","unidades","nmv_brl","pct_del_nmv_zona","pct_del_nmv_vertical"
"TECHNOLOGY","SMARTPHONES & TABLETS","SMARTPHONES","SMARTPHONES","CELLPHONES","6889","7676479","5,969","26,176"
"HEALTH","SUPPLEMENTS","HEALTH SUPPLEMENTS","OMEGAS/FISHOILS","SUPPLEMENTS","49737","4647704","3,614","55,857"
"TECHNOLOGY","COMPUTERS & NOTEBOOKS","NOTEBOOKS","NOTEBOOKS","NOTEBOOKS","1220","3987586","3,1","13,597"
"FASHION","FOOTWEAR","SNEAKERS","SPORTS FOOTWEAR","SNEAKERS","20446","2134130","1,659","16,846"
"BEAUTY","FRAGRANCES","FRAGRANCES","FRAGRANCES","PERFUMES","15049","2101569","1,634","21,924"
"TECHNOLOGY","WEARABLES","HEADPHONES","HEADSETS","HEADPHONES","13295","1558334","1,212","5,314"
"TECHNOLOGY","SMARTPHONES & TABLETS","TABLETS & READERS","TABLETS","TABLETS","1446","1341669","1,043","4,575"
"BEAUTY","HAIR","HAIR","HAIR CARE","HAIR_TREATMENTS","13640","1213318","0,943","12,658"
"TECHNOLOGY","WEARABLES","SMARTWATCHES","SMARTWATCHES","SMARTWATCHES","3298","997795","0,776","3,402"
"ENTERTAINMENT","BOOKS AND OTHERS","BOOKS","BOOKS","BOOKS","17561","918163","0,714","37,464"
"TECHNOLOGY","IT PERIPHERALS, PARTS & ACCESSORIES","DESKTOP PC PARTS","STORAGE DRIVES","HARD_DRIVES_AND_SSDS","1965","906373","0,705","3,091"
"CONSTRUCTION & INDUSTRY","SECURITY","CAMERAS, MONITORS & KITS","CAMERAS, MONITORS & KITS","SURVEILLANCE_CAMERAS","9002","905019","0,704","4,524"
"BEAUTY","BEAUTY PERSONAL CARE","FACIAL CARE","FACIAL CARE","FACIAL_SKIN_CARE_PRODUCTS","10155","851270","0,662","8,881"
"TECHNOLOGY","CONSOLE GAMING HARDWARE","CONSOLES","CONSOLES","GAME_CONSOLES","489","817099","0,635","2,786"
"FASHION","APPAREL","CLOTHING","PANTS & OTHERS","PANTS","32932","808443","0,629","6,381"
"FASHION","APPAREL","CLOTHING","SHIRTS","T_SHIRTS","17035","806957","0,627","6,37"
"BEAUTY","HAIR","HAIR","HAIR CARE","HAIR_SHAMPOOS_AND_CONDITIONERS","9121","770376","0,599","8,037"
"CONSTRUCTION & INDUSTRY","LIGHTING","WALL & CEILING LIGHTS","WALL & CEILING LIGHTS","FLOOR_CEILING_AND_WALL_LIGHTS","14123","764616","0,595","3,822"
"BEAUTY","BEAUTY PERSONAL CARE","BODY CARE","BODY CARE","BODY_SKIN_CARE_PRODUCTS","10578","632658","0,492","6,6"
"TECHNOLOGY","SMARTPHONES & TABLETS","SMARTPHONES PARTS & ACCESSORIES","SMARTPHONES DEVICE CHARGERS","MOBILE_DEVICE_CHARGERS","9293","630647","0,49","2,15"
"FASHION","APPAREL ACCESSORIES","WATCH","WATCH","WRISTWATCHES","5137","586976","0,456","4,633"
"FASHION","FOOTWEAR","SANDAL","SANDAL","SANDALS_AND_CLOGS","9892","580529","0,451","4,582"
"FURNISHING & HOUSEWARE","HOUSEHOLD ITEMS","KITCHEN HOME","FOOD STORAGE","FOOD_STORAGE_CONTAINERS","10169","563757","0,438","4,991"
"TECHNOLOGY","IT APPLIANCES","CONNECTIVITY & NETWORKS","ROUTERS","ROUTERS_AND_WIRELESS_SYSTEMS","1795","555506","0,432","1,894"
"TECHNOLOGY","IT PERIPHERALS, PARTS & ACCESSORIES","DESKTOP PC PARTS","RAM MEMORY","RAM_MEMORY_MODULES","1474","525117","0,408","1,791"
"ENTERTAINMENT","MUSICAL INSTRUMENTS","MICROPHONES","MICROPHONES","MICROPHONES","2397","513020","0,399","20,933"
"TECHNOLOGY","IT APPLIANCES","PRINTERS","PRINTERS","PRINTERS","1458","509489","0,396","1,737"
"CONSTRUCTION & INDUSTRY","SECURITY","DIGITAL & ELECTRONIC LOCKS","DIGITAL & ELECTRONIC LOCKS","ELECTRIC_LOCKS","2142","504276","0,392","2,521"
"CPG","DRINKS","ALCOHOLICS","WINES & SPARKLING WINES","WINES","10347","496670","0,386","4,111"
"BEAUTY","BEAUTY ELECTRONICS","BEAUTY ELECTRONICS","ELETRIC_SHAVERS","HAIR_CLIPPERS_ELECTRIC_SHAVERS_AND_HAIR_TRIMMERS","5054","468137","0,364","4,884"
"CPG","PET","PET FOOD & TREATS","CAT & DOGS FOOD AND TREATS","CAT_AND_DOG_FOODS","5426","462295","0,359","3,827"
"HOME ELECTRONICS","SMALL APPLIANCES","KITCHEN","ELECTRIC KITCHEN TOOLS","ELECTRIC_COFFEE_MAKERS","2065","441055","0,343","6,619"
"FASHION","APPAREL","BASICS","KIT UNDERWEAR&UNDERWEAR","UNDERPANTS","5134","420678","0,327","3,321"
"CONSTRUCTION & INDUSTRY","STATIONERY","OFFICE & SCHOOL SUPPLIES","PAPERS","SCHOOL_AND_OFFICE_PAPERS","6388","398688","0,31","1,993"
"FURNISHING & HOUSEWARE","HOUSEHOLD ITEMS","KITCHEN HOME","WATER DISPENSERS AND FILTERS","WATER_PURIFIER_FILTERS_REPLACEMENTS","5441","394871","0,307","3,496"
"CPG","PET","PET HEALTH & MEDICINE","PET HEALTH & MEDICINE","NON_PRESCRIPTION_PET_ANTIPARASITICS","3829","388078","0,302","3,212"
"HOME ELECTRONICS","SMALL APPLIANCES","HOUSING & CLEANING","VACUUM CLEANERS","VACUUM_AND_STEAM_CLEANERS","2618","379914","0,295","5,702"
"FASHION","APPAREL","BASICS","KIT UNDERWEAR&UNDERWEAR","SOCKS","8203","375516","0,292","2,964"
"CONSTRUCTION & INDUSTRY","CONSTRUCTION","FAUCETS","BATHROOM FAUCETS","BATHROOM_FAUCETS_AND_MIXERS","5550","365464","0,284","1,827"
"TECHNOLOGY","CAMERAS & DRONES","CAMERAS & VIDEO CAMERAS","CAMERAS & VIDEO CAMERAS","DIGITAL_CAMERAS","565","358124","0,278","1,221"
"CONSTRUCTION & INDUSTRY","STATIONERY","OFFICE & SCHOOL SUPPLIES","OTHER OFFICE & SCHOOL SUPPLIES","SELF_ADHESIVE_LABELS","5014","352565","0,274","1,762"
"CONSTRUCTION & INDUSTRY","STATIONERY","OFFICE & SCHOOL SUPPLIES","GLUES & TAPES","ADHESIVE_TAPES","7326","351500","0,273","1,757"
"CPG","PET","PET HEALTH & MEDICINE","PET HEALTH & MEDICINE","CAT_AND_DOG_SUPPLEMENTS","3966","351305","0,273","2,908"
"FURNISHING & HOUSEWARE","HOUSEHOLD ITEMS","KITCHEN HOME","COOKWARE","KITCHEN_POTS","2873","349164","0,271","3,091"
"BEAUTY","BEAUTY ELECTRONICS","BEAUTY ELECTRONICS","HAIR_DRYERS","HAIR_DRYERS","1725","349007","0,271","3,641"
"FURNISHING & HOUSEWARE","TEXTILES","BEDROOM TEXTILES","SHEETS & PILLOW COVERS","BED_SHEETS","5735","345930","0,269","3,063"
"HOME ELECTRONICS","AUDIO & GENERAL ELECTRONICS","AUDIO","AUDIO DEVICES","SPEAKERS","2398","337950","0,263","5,072"
"HOME ELECTRONICS","AUDIO & GENERAL ELECTRONICS","AUDIO ACCESSORIES","AUDIO & VIDEO CABLES & ADAPTERS","AUDIO_AND_VIDEO_CABLES_AND_ADAPTERS","8634","334100","0,26","5,014"
"TECHNOLOGY","IT PERIPHERALS, PARTS & ACCESSORIES","DESKTOP PC PARTS","GRAPHICS CARDS","GRAPHICS_CARDS","385","327641","0,255","1,117"
"TECHNOLOGY","CONSOLE GAMING HARDWARE","GAMES ACCESSORIES","GAMEPADS & JOYSTICKS","GAMEPADS_AND_JOYSTICKS","1936","318367","0,248","1,086"
"FURNISHING & HOUSEWARE","HOUSEHOLD ITEMS","TABLETOP","DRINKWARE & ICE","DRINKING_GLASSES","5739","314758","0,245","2,787"
"SPORTS","MOUNTAIN & OUTDOORS","CAMPING","GEAR & EQUIPMENT","BACKPACKS","4252","311160","0,242","8,735"
"T & B","TOYS AND GAMES","BOARD AND CARD GAMES","CARDS GAME","TRADING_CARD_GAMES","2341","308599","0,24","8,277"
"CPG","CPG HOME CARE","LAUNDRY PRODUCTS","LAUNDRY PRODUCTS","LAUNDRY_DETERGENTS","7574","308335","0,24","2,552"
"CPG","FOODS","BREAKFAST & CEREALS","COFFEE","GROUND_AND_WHOLE_BEANS_COFFEE","7669","303011","0,236","2,508"
"CONSTRUCTION & INDUSTRY","INDUSTRY","SAFETY EQUIPMENT","SAFETY EQUIPMENT","SAFETY_FOOTWEAR","3341","302993","0,236","1,515"
"FASHION","APPAREL","CLOTHING","SHIRTS","SHIRTS","7839","292620","0,228","2,31"
"CONSTRUCTION & INDUSTRY","LIGHTING","BULBS & LED STRIPS","BULBS & LED STRIPS","LIGHT_BULBS","7225","291876","0,227","1,459"
"TECHNOLOGY","SMARTPHONES & TABLETS","SMARTPHONES PARTS & ACCESSORIES","SMARTPHONES & TABLETS CASES & COVERS","CELLPHONE_CASES_AND_COVERS","9604","288452","0,224","0,984"
"FASHION","APPAREL","CLOTHING","COAT AND JACKET","JACKETS_AND_COATS","6714","285818","0,222","2,256"
"TECHNOLOGY","COMPUTERS & NOTEBOOKS","DESKTOPS","MINI PC","MINI_PCS","184","285163","0,222","0,972"
"CONSTRUCTION & INDUSTRY","INDUSTRY","ADVERTISEMENT & GRAPHIC DESIGN","ADVERTISEMENT & GRAPHIC DESIGN","COMMERCIAL_AND_EVENT_BAGS","5499","284590","0,221","1,423"
"HOME ELECTRONICS","SMALL APPLIANCES","KITCHEN","ELECTRIC KITCHEN TOOLS","BLENDERS","2206","284476","0,221","4,269"
"VEHICLE PARTS & ACCESSORIES","ACC VEHICULAR MULTIMEDIA","VEHICULAR STEREOS & SCREENS","VEHICULAR STEREOS","VEHICLE_MULTIMEDIA_SYSTEMS","2220","280187","0,218","3,348"
"CONSTRUCTION & INDUSTRY","TOOLS","POWER TOOLS","DRILLING AND SCREWDRIVING","ELECTRIC_SCREWDRIVERS_AND_IMPACT_WRENCHES","2535","280025","0,218","1,4"
"CONSTRUCTION & INDUSTRY","CONSTRUCTION","FAUCETS","SHOWER HEADS","ELECTRIC_SHOWER_HEADS","1821","279905","0,218","1,399"
"BEAUTY","BEAUTY PERSONAL CARE","SOLAR CARE","BODY SOLAR CARE","SUNSCREENS","4035","278474","0,217","2,905"
"CONSTRUCTION & INDUSTRY","CONSTRUCTION","FAUCETS","KITCHEN FAUCETS","KITCHEN_FAUCETS","3255","275583","0,214","1,378"
"FURNISHING & HOUSEWARE","HOUSEHOLD ITEMS","CLEANING & LAUNDRY","HOME CLEANING","WASTE_BASKETS","5389","275295","0,214","2,437"
"TECHNOLOGY","IT PERIPHERALS, PARTS & ACCESSORIES","PC PERIPHERALS","COMPUTER MICE","COMPUTER_MICE","3487","274412","0,213","0,936"
"TECHNOLOGY","GAMES, DIGITAL GOODS & SOFTWARE","VIDEO GAMES","DIGITAL VIDEO GAMES","VIDEO_GAMES","1403","270149","0,21","0,921"
"CPG","FOODS","CHOCOLATE & SWEETS","CHOCOLATES","CHOCOLATES","7333","269017","0,209","2,227"
"TECHNOLOGY","IT APPLIANCES","PRINTERS PARTS & ACCESSORIES","PRINTERS 3D ACCESSORIES","3D_PRINTER_FILAMENTS","2611","266604","0,207","0,909"
"HEALTH","HEALTH GOODS","HEALTH PROFESSIONAL","HEALTH PROFESSIONAL CONSUMABLES","SYRINGES","4637","265975","0,207","3,197"
"T & B","TOYS AND GAMES","ACTION FIGURES","ACTION FIGURES","ACTION_FIGURES","2394","263132","0,205","7,057"
"BEAUTY","BEAUTY PROFESSIONAL","BEAUTY SALOON","HAIR PROFESSIONAL","HAIR_AND_FACE_DYES_AND_BLEACHES","5314","261763","0,204","2,731"
"CPG","FOODS","BREAKFAST & CEREALS","COFFEE","INFUSION_CAPSULES","10133","260150","0,202","2,153"
"TECHNOLOGY","IT PERIPHERALS, PARTS & ACCESSORIES","MONITORS & ACCESSORIES","MONITORS","COMPUTER_MONITORS","857","253299","0,197","0,864"
"FASHION","FOOTWEAR","BOOTS","BOOTS","BOOTS_AND_BOOTIES","2076","253224","0,197","1,999"
"FURNISHING & HOUSEWARE","HOUSEHOLD ITEMS","KITCHEN HOME","COOKWARE","KITCHEN_COOKWARE_KITS","1201","251608","0,196","2,228"
"CPG","FOODS","BREAKFAST & CEREALS","MILK","MILK","13061","250867","0,195","2,077"
