rank,seller_id,nombre,segmento,ml_level,reputacion,turbo,total_mensual,v4_mensual_total,v4_efectivo_zona,flex_zona,xd_zona,pct_cobertura_zona,pct_proximidad,ht_horas,lat,lon,tiene_integrador,tipo_integrador,integrador_nombre,nodos_activos,es_multinodo,v4_eff_acumulado,pct_vol_acum,ord_hr_acum,envios_turbo,peso_mediano_kg,lado_max_med_cm,gmv_prom_brl,pct_within_4km,opera_full
1,1135214401,MSK ARMARINHOS LTDA,Heavy,platinum,5_green,False,9927,286,200,186,14,69.93,2.88,26.64,-23.542459,-46.621837,True,certificado,UpSeller ERP,0,False,200,1.22,1.1,0,0.69,34,67,3.3,true
2,471957797,WG. LED. ELETRONICOS. SHOPPING LTDA,Heavy,platinum,5_green,False,9332,232,156,124,32,67.24,2.49,24.9,-23.528691,-46.622615,True,certificado,UpSeller ERP,0,False,356,2.17,1.9,0,0.21,24,39,2.9,false
3,1834181089,COMERCIAL LED BLOG,Heavy,platinum,5_green,False,8714,183,153,145,8,83.61,2.1,32.83,-23.549823,-46.61657,True,certificado,Predize,0,False,509,3.11,2.7,0,0.5,15,65,2.3,true
4,798276004,JK,Heavy,platinum,5_green,False,2917,144,139,139,0,96.53,4.94,15.17,-23.539476,-46.612965,True,certificado,idworks,0,False,648,3.96,3.4,0,0.4,33,73,4.5,true
5,521235308,AIQIN HU,Heavy,platinum,5_green,False,5045,163,137,129,8,84.05,3.23,25.15,-23.547706,-46.618191,True,certificado,UpSeller ERP,0,False,785,4.79,4.2,0,0.38,21,81,2.3,false
6,2381297194,SANDA BUSINESS,Heavy,platinum,5_green,False,8504,180,130,115,15,72.22,2.12,28.39,-23.5645332,-46.603849,True,certificado,UpSeller ERP,0,False,915,5.59,4.8,0,0.17,18,59,2,true
7,227778220,SIDI ZHENG,Heavy,platinum,5_green,False,4177,130,127,120,7,97.69,3.11,16.62,-23.5339551,-46.599029,True,certificado,UpSeller ERP,0,False,1042,6.36,5.5,0,0.3,20,87,3.1,true
8,430780332,MODA 2023,Heavy,,5_green,False,7393,138,126,113,13,91.3,1.87,20.66,-23.5388992,-46.6156074,True,certificado,UpSeller ERP,0,False,1168,7.13,6.2,0,0.45,26,85,2.2,true
9,1728242598,CASA ESTILO OUTLET,Heavy,platinum,5_green,True,3106,142,126,115,11,88.73,4.57,17.32,-23.549625,-46.608701,True,certificado,magis5,0,False,1294,7.9,6.8,47,1.12,31,188,4.2,true
10,334627891,ULTRAPRIME DO BRASIL LTDA,Heavy,platinum,5_green,False,4170,157,125,125,0,79.62,3.76,14.75,-23.527869,-46.613665,True,certificado,MercadoTurbo,0,False,1419,8.66,7.5,0,0.09,13,35,4.3,true
11,420931108,LING LIN,Heavy,platinum,5_green,False,5103,215,116,108,8,53.95,4.21,24.18,-23.541572,-46.630832,True,certificado,UpSeller ERP,0,False,1535,9.37,8.1,0,0.13,20,41,3.9,false
12,764302126,KOENIG COMERCIO DE VESTUARIO LTDA,Heavy,platinum,5_green,False,2585,117,112,112,0,95.73,4.53,18.98,-23.538218,-46.613768,True,certificado,Predize,1,False,1647,10.05,8.7,0,0.53,49,51,3.2,true
13,2006305369,Yanbin liu,Heavy,platinum,5_green,False,6638,149,111,104,7,74.5,2.24,23.97,-23.52349,-46.614999,True,certificado,UpSeller ERP,0,False,1758,10.73,9.3,0,0.51,24,87,1.9,false
14,708176542,BD LUXURY,Heavy,,5_green,False,1681,164,107,107,0,65.24,9.76,10.51,-23.546906,-46.619748,False,sin_integrador,,0,False,1865,11.39,9.9,0,0.3,18,780,8.7,false
