"category_id","agg1","agg2"
"123106","Esportes e Fitness","Monitores Esportivos"
"439277","Indústria e Comércio","Uniformes e Roupa de Trabalho"
"270340","Indústria e Comércio","Segurança Laboral"
"420335","Bebês","Andadores e Mini Veículos"
"456822","Agro","Armezenamento"
"438985","Casa, Móveis e Decoração","Têxteis de Casa e Decoração"
"1649","Informática","PC de Mesa"
"270199","Mais Categorias","Equipamento para Tatuagens"
"271740","Eletrônicos, Áudio e Vídeo","Drones e Acessórios"
"270339","Esportes e Fitness","Rugby"
"269942","Ferramentas","Ferramentas para Jardim"
"70452","Celulares e Telefones","Rádio Comunicadores"
"439355","Eletrodomésticos","Cuidado Pessoal"
"193922","Casa, Móveis e Decoração","Têxteis de Casa e Decoração"
"271571","Construção","Mobiliário para Banheiros"
"123977","Esportes e Fitness","Parapente"
"277477","Mais Categorias","Equipamento para Tatuagens"
"433439","Instrumentos Musicais","Instrumentos de Corda"
"269342","Bebês","Alimentos para Bebês"
"67851","Esportes e Fitness","Artes Marciais e Boxe"
"123935","Esportes e Fitness","Kitesurf"
"270504","Informática","Estabilizadores e No Breaks"
"186807","Casa, Móveis e Decoração","Têxteis de Casa e Decoração"
"432018","Celulares e Telefones","Acessórios para Celulares"
"186462","Casa, Móveis e Decoração","Têxteis de Casa e Decoração"
"223538","Esportes e Fitness","Equitação"
"432822","Indústria e Comércio","Equipamento para Escritórios"
"425076","Brinquedos e Hobbies","Mini Veículos e Bicicletas"
"3752","Instrumentos Musicais","Instrumentos de Corda"
"455093","Eletrodomésticos","Lavadores"
"270947","Beleza e Cuidado Pessoal","Maquiagem"
"455762","Arte, Papelaria e Armarinho","Arte e Trabalhos Manuais"
"440298","Acessórios para Veículos","Segurança Veicular"
"433290","Brinquedos e Hobbies","Brinquedos para Bebês"
"218842","Indústria e Comércio","Têxtil e Calçado"
"270918","Esportes e Fitness","Equitação"
"271211","Mais Categorias","Artigos para Fumadores"
"271398","Eletrodomésticos","Lavadores"
"4976","Informática","Componentes para PC"
