"item_id","item","category_id","unidades_30d","n_ceps"
"53","Cartão Mercado Pago","","35613","4282"
"5922800834","Yopro Bebida Láctea Uht Chocolate 23g De Proteínas 250ml","277693","5744","446"
"4126296341","Café Torrado E Moido Tradicional Pouch 500g Intensidade 8 União Pacote","247538","5488","572"
"4329650855","Yopro Bebida Láctea Uht Baunilha 23g De Proteínas 250ml","277693","4580","333"
"2916076280","Azeite De Oliva Extra Virgem Terras De Camões Vidro 500ml","263841","3011","374"
"4806799752","Café Em Capsulas Dolce Gusto Espresso 10 Unidades Nescafé","247540","2583","264"
"3828511694","Água De Coco Carrefour 1 Litro","413800","2508","196"
"5368481554","Açúcar Refinado Caravelas Pacote 1kg","263797","2438","260"
"3853997523","Creme De Leite Leve Uht Italac 200g","277613","2232","276"
"2751266046","Yopro Bebida Láctea Uht Morango 15g De Proteínas 250ml","277693","2189","203"
"3897060353","Yopro Bebida Láctea Uht Doce De Leite Havanna 15g De Proteínas 250ml","277693","2158","196"
"4232914111","Camiseta Tech Light  Insider Masculino","31447","2133","296"
"3602329161","Água De Coco Kero Coco 1l","413800","2066","205"
"2880007855","Água De Coco Sococo 1 Litro","413800","1996","180"
"5498638606","Café União Torrado E Moído Extraforte 500g Pacote","247538","1970","194"
"5513965136","Caixa De Chocolates Bombom Variedades Favoritos 250,6g Lacta","194832","1863","163"
"3723837919","Leite Uht Semidesnatado Zero Lactose Italac Caixa Com Tampa 1l","277693","1828","193"
"5872060016","Creatina Monohidratada 250g Growth Supplements - Sem Sabor Em Pó","122102","1804","181"
"2880101622","Açúcar Refinado União 1kg","263797","1798","209"
"3462490915","Leite Uht Semidesnatado Zero Lactose Italac Caixa Com Tampa 1l","277693","1728","185"
"5954454554","Água Mineral Premium Lindoia 510ml Sem Gás Pacote X 12 U","269718","1705","169"
"2868615476","Isotônico De Limão Gatorade Pet 500ml","278272","1674","162"
"3307447097","Bebida Mista Gaseificada Ice Premium Smirnoff 269ml","194810","1671","130"
"3492196075","Cápsula 3 Corações Espresso Mogiana Paulista Compatível Nespresso 10cáps","247540","1623","187"
"3398682227","Bebida Vegetal Notmilk Original 1l","277693","1610","150"
"4574645165","Kit Com 12 Envelopes De Figurinhas Da Copa Do Mundo 2026 Edição 1 Editora Panini","437616","1593","198"
